domain,campaigns,ip,behind_cf,home_status,home_snippet,api_status,posts_total,latest_post,verdict
drunk-fish.ru,campaign2+campaign3,172.67.207.95,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
dubrovinaphoto.com,campaign1+campaign4,172.67.199.55,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
edhall.ru,campaign1+campaign4,172.67.216.163,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
elintel.ru,campaign1+campaign4,104.21.15.43,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
fermatastyle.ru,campaign2+campaign3,172.67.136.51,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
iscar-east.ru,campaign1+campaign4,104.21.72.14,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
kakudobrit.ru,campaign2+campaign3,104.21.72.71,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
kgdink.ru,campaign2+campaign3,172.67.152.215,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
ledpnz.ru,campaign2+campaign4,104.21.46.25,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
liveandcreate.ru,campaign2+campaign3,172.67.142.196,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
lyadeputti.ru,campaign2+campaign3,172.67.209.150,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
m-e-d-a-l.ru,campaign1+campaign4,172.67.189.19,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
mai-hoshi.ru,campaign2+campaign3,104.21.70.218,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
mybabyfoot.ru,campaign1+campaign4,104.21.34.169,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
omegabay.ru,campaign2+campaign3,172.67.174.222,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
oybox.by,campaign1+campaign4,104.21.72.165,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
photo-test.ru,campaign2+campaign3,172.67.219.124,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
photoset-msk.ru,campaign1+campaign4,172.67.143.184,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
pravo-or.org,campaign1+campaign4,104.21.43.105,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
pre100l.ru,campaign1+campaign4,104.21.77.2,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
prforce.ru,campaign2+campaign3,172.67.200.41,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
pro-covers.ru,campaign1+campaign4,104.21.89.85,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
promplo.ru,campaign2+campaign4,104.21.76.242,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
property-in-alanya.ru,campaign2+campaign3,104.21.70.126,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
rt-covid19.ru,campaign2+campaign3,104.21.89.142,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
sibertek.ru,campaign1+campaign4,172.67.157.49,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
solbrasil.ru,campaign1+campaign4,104.21.82.101,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
solkmsb.ru,campaign1+campaign4,104.21.85.39,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
speciallabel.ru,campaign2+campaign3,104.21.74.68,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
studio-santech.ru,campaign1+campaign4,104.21.50.99,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
techfile.ru,campaign2+campaign3,172.67.213.145,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
top-audit.ru,campaign2+campaign3,172.67.155.167,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
ulcus.ru,campaign2+campaign3,104.21.18.58,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
unit-org.ru,campaign2+campaign3,104.21.80.51,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
vsenamag.ru,campaign1+campaign4,104.21.28.200,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
yarfido.ru,campaign1+campaign4,172.67.205.76,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
yellodigital.ru,campaign2+campaign4,104.21.2.58,да,403,"<!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA",403,,,НЕИЗВЕСТНО: Cloudflare-челлендж (нужен доверенный прокси)
доступныйсервис.рф,campaign2+campaign3,104.21.44.194,да,ERR:TooManyRedirects,,ERR:TooManyRedirects,,,ПРОБЛЕМА: home=ERR:TooManyRedirects api=ERR:TooManyRedirects
стандарт72.рф,campaign2+campaign3,104.21.19.84,да,ERR:TooManyRedirects,,ERR:TooManyRedirects,,,ПРОБЛЕМА: home=ERR:TooManyRedirects api=ERR:TooManyRedirects
