Домен,Домен ASCII,ID,Заголовок,Слаг,Рубрика,Слаг рубрики,Дата,Анкор,Целевая ссылка,Денежная,Тема,Был в индексе,Источник заголовка,Источник слага
avtogear62.ru,avtogear62.ru,137,Поддержка занятости и переобучение населения,podderzhka-zanjatosti-i-pereobuchenie-naselenija,Новая профессия,novaja-professija,2026-06-06 10:09,Работа России,https://trudvsem.ru/,,Поддержка занятости и переобучение населения,да,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,138,Сколько зарабатывают после смены профессии,skolko-zarabatyvajut-posle-smeny-professii,Новая профессия,novaja-professija,2026-06-08 08:28,,,,Сколько зарабатывают после смены профессии,да,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,152,Аренда роботов для event-проектов в 2026,arenda-robotov-dlja-event-proektov-v-2026,Аренда роботов для event-проектов,arenda-robotov-dlja-event-proektov,2026-08-14 15:34,,,,Аренда роботов для event-проектов: что изменилось в 2026 году,да,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,154,Аренда роботов для event-проектов,arenda-robotov-dlja-event-proektov,Аренда роботов для event-проектов,arenda-robotov-dlja-event-proektov,2026-08-16 11:45,,,,"Аренда роботов для event-проектов: оборудование, софт и расходники",да,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,156,Аренда роботов на мероприятие без переплат,arenda-robotov-na-meroprijatie-bez-pereplat,Аренда роботов для event-проектов,arenda-robotov-dlja-event-proektov,2026-08-18 08:29,аренда роботов на мероприятие,https://divent.ru/uslugi/roboty/,да,Аренда роботов на мероприятие: как выбрать подрядчика и не переплатить,да,журнал публикаций,записан в реестре
avtogear62.ru,avtogear62.ru,158,Аренда роботов для event-проектов: кейсы,arenda-robotov-dlja-event-proektov-kejsy,Аренда роботов для event-проектов,arenda-robotov-dlja-event-proektov,2026-08-20 16:41,,,,Аренда роботов для event-проектов: разбор реальных кейсов,нет,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,160,Аренда роботов для event-проектов: площадка и безопасность,arenda-robotov-dlja-event-proektov-ploshhadka-i-bezopasnost,Аренда роботов для event-проектов,arenda-robotov-dlja-event-proektov,2026-08-22 18:37,,,,"Аренда роботов для event-проектов: площадка, электрика и безопасность",нет,журнал публикаций,из заголовка
avtogear62.ru,avtogear62.ru,162,Ошибки при аренде роботов для мероприятий,oshibki-pri-arende-robotov-dlja-meroprijatij,Аренда роботов для event-проектов,arenda-robotov-dlja-event-proektov,2026-08-24 20:26,,,,Аренда роботов для event-проектов: частые ошибки заказчиков,нет,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,128,Когда пора менять профессию: главные признаки,kogda-pora-menjat-professiju-glavnye-priznaki,Смена профессии,smena-professii,2026-05-22 14:11,,,,Когда пора менять профессию: главные признаки,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,129,Рынок труда и профессии будущего в России,rynok-truda-i-professii-budushhego-v-rossii,Смена профессии,smena-professii,2026-05-24 11:10,Росстат,https://rosstat.gov.ru/,,Рынок труда и востребованные профессии в России,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,130,Профессиональная переподготовка: путь к новой карьере,professionalnaja-perepodgotovka-put-k-novoj-karere,Смена профессии,smena-professii,2026-05-25 12:27,профессиональная переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Профессиональная переподготовка: как сменить сферу деятельности,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,131,Мифы о переобучении взрослых,mify-o-pereobuchenii-vzroslyh,Смена профессии,smena-professii,2026-05-26 19:19,,,,Мифы о переобучении взрослых,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,132,Как проверить документ о переподготовке,kak-proverit-dokument-o-perepodgotovke,Смена профессии,smena-professii,2026-05-27 16:21,Рособрнадзор,https://obrnadzor.gov.ru/,,Как проверить документ о переподготовке,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,133,Истории успешной смены профессии,istorii-uspeshnoj-smeny-professii,Смена профессии,smena-professii,2026-05-29 10:44,,,,Истории успешной смены профессии,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,147,Свадебные фотозоны в Екатеринбурге: тренды 2026,svadebnye-fotozony-v-ekaterinburge-trendy-2026,Свадебные фотозоны в Екатеринбурге,svadebnye-fotozony-v-ekaterinburge,2026-06-06 19:35,,,,Свадебные фотозоны в Екатеринбурге: основные форматы и решения 2026 года,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,149,Свадебные фотозоны в Екатеринбурге,svadebnye-fotozony-v-ekaterinburge,Свадебные фотозоны в Екатеринбурге,svadebnye-fotozony-v-ekaterinburge,2026-06-08 16:16,,,,"Свадебные фотозоны в Екатеринбурге: технологии, материалы и оборудование",да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,151,Как выбрать фотозону на свадьбу в Екатеринбурге,kak-vybrat-fotozonu-na-svadbu-v-ekaterinburge,Свадебные фотозоны в Екатеринбурге,svadebnye-fotozony-v-ekaterinburge,2026-06-10 10:13,фотозона на свадьбу в Екатеринбурге,https://divent.ru/ekb/uslugi/fotozony/,да,"Как выбрать фотозона на свадьбу в Екатеринбурге: критерии, сервис и бюджет",да,журнал публикаций,записан в реестре
drunk-fish.ru,drunk-fish.ru,153,Свадебные фотозоны в Екатеринбурге: идеи и кейсы,svadebnye-fotozony-v-ekaterinburge-idei-i-kejsy,Свадебные фотозоны в Екатеринбурге,svadebnye-fotozony-v-ekaterinburge,2026-06-11 17:54,,,,Свадебные фотозоны в Екатеринбурге: примеры удачных кейсов и нестандартные идеи,да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,155,Свадебные фотозоны в Екатеринбурге: нормы и безопасность,svadebnye-fotozony-v-ekaterinburge-normy-i-bezopasnost,Свадебные фотозоны в Екатеринбурге,svadebnye-fotozony-v-ekaterinburge,2026-06-13 14:34,,,,"Свадебные фотозоны в Екатеринбурге: безопасность, монтаж и нормативы",да,журнал публикаций,из заголовка
drunk-fish.ru,drunk-fish.ru,157,Свадебные фотозоны в Екатеринбурге: ошибки и решения,svadebnye-fotozony-v-ekaterinburge-oshibki-i-reshenija,Свадебные фотозоны в Екатеринбурге,svadebnye-fotozony-v-ekaterinburge,2026-06-15 13:24,,,,Свадебные фотозоны в Екатеринбурге: ошибки заказчиков и как их избежать,да,журнал публикаций,из заголовка
elintel.ru,elintel.ru,137,Переподготовка по пожарной безопасности 256 часов: кому нужна,perepodgotovka-po-pozharnoj-bezopasnosti-256-chasov-komu-nuzhna,Охрана труда,ohrana-truda,2026-04-16 11:07,,,,Переподготовка по пожарной безопасности 256 часов: кому нужна и что включает,да,журнал публикаций,из заголовка
elintel.ru,elintel.ru,139,ТОП-5 нарушений пожарной безопасности на предприятиях,top-5-narushenij-pozharnoj-bezopasnosti-na-predprijatijah,Охрана труда,ohrana-truda,2026-04-18 20:35,,,,ТОП-5 нарушений пожарной безопасности на предприятиях,да,журнал публикаций,из заголовка
elintel.ru,elintel.ru,141,Требования к ответственному за пожарную безопасность,trebovanija-k-otvetstvennomu-za-pozharnuju-bezopasnost,Охрана труда,ohrana-truda,2026-04-20 17:46,,,,Требования к ответственному за пожарную безопасность,да,журнал публикаций,из заголовка
elintel.ru,elintel.ru,143,Аудит пожарной безопасности: пошаговая проверка объекта,audit-pozharnoj-bezopasnosti-poshagovaja-proverka-obekta,Охрана труда,ohrana-truda,2026-04-21 11:36,,,,Как провести аудит пожарной безопасности на объекте,да,журнал публикаций,из заголовка
elintel.ru,elintel.ru,145,Что изменилось в противопожарных нормах в 2026 году,chto-izmenilos-v-protivopozharnyh-normah-v-2026-godu,Охрана труда,ohrana-truda,2026-04-22 20:51,,,,Что изменилось в противопожарных нормах в 2026 году,да,журнал публикаций,из заголовка
elintel.ru,elintel.ru,147,Средства пожаротушения: виды и правила использования,sredstva-pozharotushenija-vidy-i-pravila-ispolzovanija,Охрана труда,ohrana-truda,2026-04-24 17:22,,,,Средства пожаротушения: виды и правила использования,да,журнал публикаций,из заголовка
elintel.ru,elintel.ru,155,,,Искусственный интеллект в event-фотографии,iskusstvennyj-intellekt-v-event-fotografii,2026-08-12 10:20,,,,Искусственный интеллект в event-фотографии: что изменилось в 2026 году,да,сгенерируется,утрачен
elintel.ru,elintel.ru,157,,,Искусственный интеллект в event-фотографии,iskusstvennyj-intellekt-v-event-fotografii,2026-08-13 19:11,,,,"Искусственный интеллект в event-фотографии: оборудование, софт и расходники",да,сгенерируется,утрачен
elintel.ru,elintel.ru,159,Фотобудка с ИИ в Москве: выбор без переплат,fotobudka-s-ii-v-moskve-vybor-bez-pereplat,Искусственный интеллект в event-фотографии,iskusstvennyj-intellekt-v-event-fotografii,2026-08-15 08:08,фотобудка с ИИ в Москве,https://divent.ru/uslugi/ii-fotobudka/,да,Фотобудка с ИИ в Москве: как выбрать подрядчика и не переплатить,да,восстановлен из слага,записан в реестре
elintel.ru,elintel.ru,161,,,Искусственный интеллект в event-фотографии,iskusstvennyj-intellekt-v-event-fotografii,2026-08-16 15:36,,,,Искусственный интеллект в event-фотографии: разбор реальных кейсов,да,сгенерируется,утрачен
elintel.ru,elintel.ru,163,,,Искусственный интеллект в event-фотографии,iskusstvennyj-intellekt-v-event-fotografii,2026-08-18 10:48,,,,"Искусственный интеллект в event-фотографии: площадка, электрика и безопасность",да,сгенерируется,утрачен
elintel.ru,elintel.ru,165,,,Искусственный интеллект в event-фотографии,iskusstvennyj-intellekt-v-event-fotografii,2026-08-21 16:17,,,,Искусственный интеллект в event-фотографии: частые ошибки заказчиков,нет,сгенерируется,утрачен
kakudobrit.ru,kakudobrit.ru,105,Второе высшее или переподготовка: что выбрать,vtoroe-vysshee-ili-perepodgotovka-chto-vybrat,Дополнительное образование,dopolnitelnoe-obrazovanie,2026-05-25 18:54,,,,Второе высшее или переподготовка: что выбрать,да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,106,Переподготовка в Тюмени: новые карьерные возможности,perepodgotovka-v-tjumeni-novye-karernye-vozmozhnosti,Дополнительное образование,dopolnitelnoe-obrazovanie,2026-05-26 15:13,переподготовка на базе высшего образования в Тюмени,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Переподготовка на базе высшего образования в Тюмени,да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,107,Уровни профессионального образования в России,urovni-professionalnogo-obrazovanija-v-rossii,Дополнительное образование,dopolnitelnoe-obrazovanie,2026-05-28 11:25,Закон об образовании,https://www.consultant.ru/document/cons_doc_LAW_140174/,,Уровни профессионального образования в России,да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,108,Кому подходит переподготовка на базе диплома вуза,komu-podhodit-perepodgotovka-na-baze-diploma-vuza,Дополнительное образование,dopolnitelnoe-obrazovanie,2026-05-29 15:38,,,,Кому подходит переподготовка на базе диплома вуза,да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,109,Как государство контролирует качество образования,kak-gosudarstvo-kontroliruet-kachestvo-obrazovanija,Дополнительное образование,dopolnitelnoe-obrazovanie,2026-05-31 21:55,Рособрнадзор,https://obrnadzor.gov.ru/,,Как государство контролирует качество образования,да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,110,Как переподготовка помогает в карьере,kak-perepodgotovka-pomogaet-v-karere,Дополнительное образование,dopolnitelnoe-obrazovanie,2026-06-01 17:39,,,,Как переподготовка помогает в карьере,да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,124,Свадьбы в Екатеринбурге: фотозоны и декор 2026,svadby-v-ekaterinburge-fotozony-i-dekor-2026,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor,2026-06-06 19:13,,,,Свадьбы в Екатеринбурге: фотозоны и декор: основные форматы и решения 2026 года,да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,126,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor,2026-06-08 19:49,,,,"Свадьбы в Екатеринбурге: фотозоны и декор: технологии, материалы и оборудование",да,журнал публикаций,из заголовка
kakudobrit.ru,kakudobrit.ru,128,Как выбрать фотозону на свадьбу в Екатеринбурге,kak-vybrat-fotozonu-na-svadbu-v-ekaterinburge,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor,2026-06-09 18:40,фотозона на свадьбу в Екатеринбурге,https://divent.ru/ekb/uslugi/fotozony/,да,"Как выбрать фотозона на свадьбу в Екатеринбурге: критерии, сервис и бюджет",да,журнал публикаций,записан в реестре
kakudobrit.ru,kakudobrit.ru,130,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor-2,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor,2026-06-11 17:11,,,,Свадьбы в Екатеринбурге: фотозоны и декор: примеры удачных кейсов и нестандартные идеи,да,журнал публикаций,"из заголовка, суффикс WordPress"
kakudobrit.ru,kakudobrit.ru,132,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor-3,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor,2026-06-13 08:10,,,,"Свадьбы в Екатеринбурге: фотозоны и декор: безопасность, монтаж и нормативы",да,журнал публикаций,"из заголовка, суффикс WordPress"
kakudobrit.ru,kakudobrit.ru,134,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor-4,Свадьбы в Екатеринбурге: фотозоны и декор,svadby-v-ekaterinburge-fotozony-i-dekor,2026-06-14 09:42,,,,Свадьбы в Екатеринбурге: фотозоны и декор: ошибки заказчиков и как их избежать,да,журнал публикаций,"из заголовка, суффикс WordPress"
kgdink.ru,kgdink.ru,102,Один день из жизни водителя погрузчика,odin-den-iz-zhizni-voditelja-pogruzchika,Профессия водитель погрузчика,professija-voditel-pogruzchika,2026-05-11 10:55,,,,Один день из жизни водителя погрузчика,да,журнал публикаций,записан в реестре
kgdink.ru,kgdink.ru,103,Какие бывают погрузчики: электрические и дизельные,kakie-byvajut-pogruzchiki-jelektricheskie-i-dizelnye,Профессия водитель погрузчика,professija-voditel-pogruzchika,2026-05-12 13:38,,,,Какие бывают погрузчики: электрические и дизельные,да,журнал публикаций,записан в реестре
kgdink.ru,kgdink.ru,104,Устройство и принцип работы погрузчика,ustrojstvo-i-princip-raboty-pogruzchika,Профессия водитель погрузчика,professija-voditel-pogruzchika,2026-05-14 21:05,погрузчик,https://ru.wikipedia.org/wiki/Погрузчик,,Устройство и принцип работы погрузчика,да,журнал публикаций,записан в реестре
kgdink.ru,kgdink.ru,105,Обучение на водителя погрузчика в Москве,obuchenie-na-voditelja-pogruzchika-v-moskve,Профессия водитель погрузчика,professija-voditel-pogruzchika,2026-05-16 17:18,обучение на водителя погрузчика в москве,https://aso-cdo.ru/moskva/rabochie-professii/voditel-pogruzchika/,да,Обучение на водителя погрузчика в Москве: цены и сроки,да,журнал публикаций,записан в реестре
kgdink.ru,kgdink.ru,106,Правила безопасной эксплуатации погрузчиков,pravila-bezopasnoj-jekspluatacii-pogruzchikov,Профессия водитель погрузчика,professija-voditel-pogruzchika,2026-05-17 12:06,Ростехнадзор,https://www.gosnadzor.ru/,,Правила безопасной эксплуатации погрузчиков,да,журнал публикаций,записан в реестре
kgdink.ru,kgdink.ru,107,Что проверяют на экзамене у водителя погрузчика,chto-proverjajut-na-jekzamene-u-voditelja-pogruzchika,Профессия водитель погрузчика,professija-voditel-pogruzchika,2026-05-19 16:26,,,,Что проверяют на экзамене у будущего водителя погрузчика,да,журнал публикаций,из заголовка
kgdink.ru,kgdink.ru,121,Фотозоны в Екатеринбурге: форматы и идеи 2026,fotozony-v-ekaterinburge-formaty-i-idei-2026,Фотозоны в Екатеринбурге: подбор по случаю,fotozony-v-ekaterinburge-podbor-po-sluchaju,2026-06-01 20:14,,,,Фотозоны в Екатеринбурге: подбор по случаю: основные форматы и решения 2026 года,да,журнал публикаций,из заголовка
kgdink.ru,kgdink.ru,123,Фотозоны в Екатеринбурге: выбор по случаю,fotozony-v-ekaterinburge-vybor-po-sluchaju,Фотозоны в Екатеринбурге: подбор по случаю,fotozony-v-ekaterinburge-podbor-po-sluchaju,2026-06-02 17:20,,,,"Фотозоны в Екатеринбурге: подбор по случаю: технологии, материалы и оборудование",да,журнал публикаций,из заголовка
kgdink.ru,kgdink.ru,125,Как выбрать фотозону в Екб без переплат,kak-vybrat-fotozonu-v-ekb-bez-pereplat,Фотозоны в Екатеринбурге: подбор по случаю,fotozony-v-ekaterinburge-podbor-po-sluchaju,2026-06-04 20:43,фотозона Екб,https://divent.ru/ekb/uslugi/fotozony/,да,"Как выбрать фотозона Екб: критерии, сервис и бюджет",да,журнал публикаций,записан в реестре
kgdink.ru,kgdink.ru,127,Фотозоны в Екатеринбурге: идеи и кейсы,fotozony-v-ekaterinburge-idei-i-kejsy,Фотозоны в Екатеринбурге: подбор по случаю,fotozony-v-ekaterinburge-podbor-po-sluchaju,2026-06-05 19:08,,,,Фотозоны в Екатеринбурге: подбор по случаю: примеры удачных кейсов и нестандартные идеи,да,журнал публикаций,из заголовка
kgdink.ru,kgdink.ru,129,Фотозоны в Екатеринбурге: безопасность и монтаж,fotozony-v-ekaterinburge-bezopasnost-i-montazh,Фотозоны в Екатеринбурге: подбор по случаю,fotozony-v-ekaterinburge-podbor-po-sluchaju,2026-06-07 10:25,,,,"Фотозоны в Екатеринбурге: подбор по случаю: безопасность, монтаж и нормативы",да,журнал публикаций,из заголовка
kgdink.ru,kgdink.ru,131,Фотозоны в Екатеринбурге: как выбрать без ошибок,fotozony-v-ekaterinburge-kak-vybrat-bez-oshibok,Фотозоны в Екатеринбурге: подбор по случаю,fotozony-v-ekaterinburge-podbor-po-sluchaju,2026-06-09 17:36,,,,Фотозоны в Екатеринбурге: подбор по случаю: ошибки заказчиков и как их избежать,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,120,Как выбрать профкурсы и не переплатить,kak-vybrat-profkursy-i-ne-pereplatit,Профессиональные курсы,professionalnye-kursy,2026-05-29 21:37,,,,Как выбрать профессиональные курсы и не потратить деньги зря,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,121,Курсы переподготовки: с чего начать обучение,kursy-perepodgotovki-s-chego-nachat-obuchenie,Профессиональные курсы,professionalnye-kursy,2026-05-31 19:13,курсы переподготовки,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Курсы переподготовки: с чего начать обучение,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,122,Дополнительное профессиональное образование простыми словами,dopolnitelnoe-professionalnoe-obrazovanie-prostymi-slovami,Профессиональные курсы,professionalnye-kursy,2026-06-02 20:33,профессиональная переподготовка,https://ru.wikipedia.org/wiki/Профессиональная_переподготовка,,Дополнительное профессиональное образование простыми словами,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,123,Сколько стоят курсы переподготовки,skolko-stojat-kursy-perepodgotovki,Профессиональные курсы,professionalnye-kursy,2026-06-04 19:28,,,,Сколько стоят курсы переподготовки,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,124,Как проверить учебный центр перед оплатой,kak-proverit-uchebnyj-centr-pered-oplatoj,Профессиональные курсы,professionalnye-kursy,2026-06-05 13:11,Рособрнадзор,https://obrnadzor.gov.ru/,,Как проверить учебный центр перед оплатой,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,125,Что делать после завершения курсов,chto-delat-posle-zavershenija-kursov,Профессиональные курсы,professionalnye-kursy,2026-06-06 12:35,,,,Что делать после завершения курсов,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,139,Неоновые фотозоны и LED-room в 2026 году,neonovye-fotozony-i-led-room-v-2026-godu,Неоновые фотозоны и LED-room,neonovye-fotozony-i-led-room,2026-08-12 15:11,,,,Неоновые фотозоны и LED-room: что изменилось в 2026 году,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,141,Неоновые фотозоны и LED-room: что нужно,neonovye-fotozony-i-led-room-chto-nuzhno,Неоновые фотозоны и LED-room,neonovye-fotozony-i-led-room,2026-08-15 18:39,,,,"Неоновые фотозоны и LED-room: оборудование, софт и расходники",да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,143,Неоновый тоннель фотозона: выбор без переплат,neonovyj-tonnel-fotozona-vybor-bez-pereplat,Неоновые фотозоны и LED-room,neonovye-fotozony-i-led-room,2026-08-16 18:45,неоновый тоннель фотозона,https://divent.ru/uslugi/neonovaya-fotozona-led-room/,да,Неоновый тоннель фотозона: как выбрать подрядчика и не переплатить,да,журнал публикаций,записан в реестре
ledpnz.ru,ledpnz.ru,145,Неоновые фотозоны и LED-room: реальные кейсы,neonovye-fotozony-i-led-room-realnye-kejsy,Неоновые фотозоны и LED-room,neonovye-fotozony-i-led-room,2026-08-17 20:28,,,,Неоновые фотозоны и LED-room: разбор реальных кейсов,да,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,147,Неоновые фотозоны и LED-room: безопасность,neonovye-fotozony-i-led-room-bezopasnost,Неоновые фотозоны и LED-room,neonovye-fotozony-i-led-room,2026-08-19 09:48,,,,"Неоновые фотозоны и LED-room: площадка, электрика и безопасность",нет,журнал публикаций,из заголовка
ledpnz.ru,ledpnz.ru,149,Неоновые фотозоны и LED-room: ошибки заказчиков,neonovye-fotozony-i-led-room-oshibki-zakazchikov,Неоновые фотозоны и LED-room,neonovye-fotozony-i-led-room,2026-08-21 11:17,,,,Неоновые фотозоны и LED-room: частые ошибки заказчиков,нет,журнал публикаций,из заголовка
mai-hoshi.ru,mai-hoshi.ru,128,Где получить новую профессию в Тюмени,gde-poluchit-novuju-professiju-v-tjumeni,Образование в Тюмени,obrazovanie-v-tjumeni,2026-05-20 19:07,,,,Где получить новую профессию в Тюмени,да,журнал публикаций,из заголовка
mai-hoshi.ru,mai-hoshi.ru,129,Профпереподготовка в Тюмени: где учиться,profperepodgotovka-v-tjumeni-gde-uchitsja,Образование в Тюмени,obrazovanie-v-tjumeni,2026-05-21 15:34,профпереподготовка в Тюмени,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Профпереподготовка в Тюмени: куда пойти учиться,да,журнал публикаций,из заголовка
mai-hoshi.ru,mai-hoshi.ru,130,Что такое профессиональная переподготовка,chto-takoe-professionalnaja-perepodgotovka,Образование в Тюмени,obrazovanie-v-tjumeni,2026-05-23 18:07,профессиональная переподготовка,https://ru.wikipedia.org/wiki/Профессиональная_переподготовка,,Что такое профессиональная переподготовка,да,журнал публикаций,из заголовка
mai-hoshi.ru,mai-hoshi.ru,131,Сколько длится переподготовка и от чего это зависит,skolko-dlitsja-perepodgotovka-i-ot-chego-jeto-zavisit,Образование в Тюмени,obrazovanie-v-tjumeni,2026-05-25 11:48,,,,Сколько длится переподготовка и от чего это зависит,да,журнал публикаций,из заголовка
mai-hoshi.ru,mai-hoshi.ru,132,Дополнительное профессиональное образование в законе,dopolnitelnoe-professionalnoe-obrazovanie-v-zakone,Образование в Тюмени,obrazovanie-v-tjumeni,2026-05-26 13:44,Закон об образовании,https://www.consultant.ru/document/cons_doc_LAW_140174/,,Дополнительное профессиональное образование в законе,да,журнал публикаций,из заголовка
mai-hoshi.ru,mai-hoshi.ru,133,Как выбрать программу переподготовки в Тюмени,kak-vybrat-programmu-perepodgotovki-v-tjumeni,Образование в Тюмени,obrazovanie-v-tjumeni,2026-05-27 20:32,,,,Как выбрать программу переподготовки в Тюмени,да,журнал публикаций,из заголовка
mai-hoshi.ru,mai-hoshi.ru,147,,,LED-фотозоны: технические характеристики,led-fotozony-tehnicheskie-harakteristiki,2026-06-06 15:40,,,,LED-фотозоны: технические характеристики: основные форматы и решения 2026 года,да,сгенерируется,утрачен
mai-hoshi.ru,mai-hoshi.ru,149,,,LED-фотозоны: технические характеристики,led-fotozony-tehnicheskie-harakteristiki,2026-06-07 21:22,,,,"LED-фотозоны: технические характеристики: технологии, материалы и оборудование",да,сгенерируется,утрачен
mai-hoshi.ru,mai-hoshi.ru,151,Как выбрать LED-фотозону для аренды,kak-vybrat-led-fotozonu-dlja-arendy,LED-фотозоны: технические характеристики,led-fotozony-tehnicheskie-harakteristiki,2026-06-09 14:07,led фотозона аренда,https://divent.ru/uslugi/svetodiodnaya-uglovaya-led-fotozona/,да,"Как выбрать led фотозона аренда: критерии, сервис и бюджет",да,восстановлен из слага,записан в реестре
mai-hoshi.ru,mai-hoshi.ru,153,,,LED-фотозоны: технические характеристики,led-fotozony-tehnicheskie-harakteristiki,2026-06-11 18:53,,,,LED-фотозоны: технические характеристики: примеры удачных кейсов и нестандартные идеи,да,сгенерируется,утрачен
